sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
B-53-6,143799,-0.17298185312260747,0.08457863215238307,-0.024399385295865834,-0.006003794344886154,-0.006819404159221117,0.00662365067750587,-0.0006269278059268553,0.00270418968539935,-0.003919076050574139,-0.0022024072686848135,-0.0,0.0,0.0
B-60-14,143800,-0.19026495948990385,-0.00014465813801373234,-0.0017012196551638157,-0.021507632408606574,0.030752649864653345,-0.010607729370156667,0.006113620119608486,0.02853892758833592,-0.003947831942551304,0.002386360948292921,-0.0,0.0,0.0
B-60-15,143801,-0.17845035441541582,-0.02448550586783457,0.017174900217977206,-0.026597666374135277,-0.03634114662409596,0.02777723065284636,-0.00403466006526661,0.0021601205926965656,-0.0038631316015298534,-0.0014045599108165462,-0.0,0.0,0.0
B-6-16,143803,0.22077796756024312,-0.0066321388419548245,-0.004568311104627927,-0.003981361065109917,-0.010207122830350605,-0.010127523991327162,0.011364540347105006,-0.004041537266472359,-0.015303546427709818,-0.013514687354137932,-0.0,0.0,0.0
B-6-24,143804,0.22024512643561803,-0.01594539619720635,-0.0006722386325150805,-0.023163049119039998,-0.020387374623314546,0.015062532470025744,0.006568224076891015,0.0043872259464858895,0.008516961209643,0.007642330076733547,-0.0,0.0,0.0
B-6-7,143805,0.22403924999188157,0.0328762924142194,-0.035125437631561084,0.0038949217759251848,-0.00030056962100460027,-0.0007438145178468309,-0.004693638531253665,-0.012358186525079152,-0.0036597809437121875,0.008937062826790448,-0.0,0.0,0.0
C1,143811,-0.13794356999607954,-0.04038425590774861,-0.021516202674027367,0.05736986840843221,-0.007555192022462576,0.010658066860187457,-0.004846466101709521,0.00772125448519903,-0.009160727830559084,0.003004319465042097,-0.0,0.0,0.0
S-53-20,143813,0.1883898058547972,-0.01982613796814474,0.01929501302790406,-0.015243181950745381,0.02951420289116215,-0.0009504042505651535,-0.030248860584993254,-0.0032350546354594904,-0.009430087801645498,0.0010713107415567307,-0.0,0.0,0.0
S-53-27,143814,0.10642308803647421,0.04186258258209677,0.06919640727174983,0.03141649702399581,-0.003724788833661898,-0.0017672315686839564,0.005041654005033808,0.004594913760155494,0.003521611160005764,0.00127572271465634,-0.0,0.0,0.0
S-60-3,143815,-0.16873074358001278,-0.02135537547427397,0.005341495290181147,-0.007317147825914032,-0.017793141597033612,-0.05006553477137233,0.008063061857115575,-0.011135170550151943,8.874958538223727e-05,0.004914483682908826,-0.0,0.0,0.0
S-60-5,143816,-0.17095987102428628,-0.013684611589871417,0.006549097151056777,-0.0013311855694919726,0.036100253576062884,0.022426797607695056,0.022563011314444142,-0.02401736800786107,0.002293554342012558,-8.33522844188793e-05,-0.0,0.0,0.0
S-60-9,143817,-0.17150522453995926,0.0012315542987882033,-0.006040090131220867,0.004144325460666928,-0.0009921376061452557,-0.005732282733195762,-0.026504838949750056,-0.007696487409135271,0.018144479347513814,-0.006932782603907561,-0.0,0.0,0.0
S-br-8,143822,0.23096133828925078,-0.018090981462439974,-0.023534027833887226,0.008319405988908993,0.007753771585411228,-0.002553757065111927,0.011241280318700394,0.012377172335884683,0.016718826953725317,-0.005093801034019079,-0.0,0.0,0.0
proportion_explained,0,0.9096540325007111,0.027952962719830457,0.0169832396722501,0.012940551228626133,0.010986851770067278,0.008910006800246728,0.005266565765502415,0.004066266529396982,0.002346584040218575,0.0008929389731501768,0.0,0.0,0.0
