sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth	A1	A1m	A1n	A1bf	A1id	9535_A	20180_A	16547_A	191006_A	A1bw	56151_A	A1bx	A1v	1032_A	A1eb	C1	C41	C1c	C1b	C41f	C41e	C39	C41a	C1f	C1ae	C72k	C1eb	C1w	C1ge	C3	C3ju	C1af	C1al	2669_C	C1ai	C41ap	C4a	C41o	C39ae	C3sf	14885_C	281_C	2667_C	13671_C	C1ch	37127_C	C40	C1t	C39u	73272_C	C1fj	C3sa	906_C	2833_C	C1bc	C39a	2836_C	C1a	2839_C	2188_C	C1l	25715_C	2089_C	21507_C	33564_C	12925_C	5429_C	C3cm	7599_C	C54f	C3gk	C1aa	11561_C	C89	11549_C	C1ly	6846_C	33398_C	57874_C	C1kv	C1it	C42.2	2685_C	16794_C	C1bo	2174033_C	C1n	C45e	217229_C	C1jt	21508_C	28857_C	21063_C	2721_C	2668_C	3611_C	1126_C	C1lx	7534_C	C1aw	C3ew	8634_C	45820_C	28071_C	C18d	94219_C	2064709_C	6394_C	21512_C	21511_C	14089_C	C1cu	6277_C	585010_C	26212_C	2686_C	C1hq	2713_C	2689_C	182421_C	C40e	54826_C	10218_C	C1jr	8196_C	2949_C	2662_C	C1lq	58372_C	2675_C	D1	D4	D1n	D2	D17d	D17c	D1r	D1fw	D1c	14945_D	42251_D	D5m
143800	B-60-14	B-60-14_S44_L001_R1_001.fastq.gz	46628d7045bce9e5c841f4e6d36423c0ad124b833a0f68138092a148692e6033	B-60-14_S44_L001_R2_001.fastq.gz	61f989cc3245ff6c497c3dc94a2b8b8d346b3d7cd636379097775faa9f0709b8	681	20220121_puntin	3276	970	55	970	55	0	0	0	0	952	29	0	0	58	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.30540000	38.96550000	20190312	9-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	66	0	122	87	54	45	35	28	29	0	9	8	6	0	0	10	0	10	10	0	9	6	6	0	8	0	7	0	0	0	0	0	0	0	0	0	4	0	0	7	7	0	0	4	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143815	S-60-3	S-60-3_S37_L001_R1_001.fastq.gz	726a742aa90b9fb2c720fd9d52497a9dbcb50e58d464f185ec1dbf560053f089	S-60-3_S37_L001_R2_001.fastq.gz	cfe781bf75544516a4fb498c5a36d5695717961bd4849ec32a8e08d9f498e3e1	681	20220121_puntin	5625	1729	104	1729	104	0	0	0	0	1661	34	0	0	89	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.30540000	38.96550000	20190312	9-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	647	126	0	177	131	78	87	51	48	60	0	27	8	6	0	0	13	0	13	18	15	18	11	0	0	0	0	6	0	0	7	0	0	8	0	11	0	0	9	0	0	7	11	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	6	0	0	6	0	0	0	0	0	0	0	9	0	8	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143816	S-60-5	S-60-5_S51_L001_R1_001.fastq.gz	41890d7aaf7b285f4a3892e939a27718e7953f61480e698dc33237a6f766a792	S-60-5_S51_L001_R2_001.fastq.gz	4edfd7170b1b3862a4400ab8f252e47cc6e76511ee762a5b7c15452e961ee28f	681	20220121_puntin	3753	1150	66	1109	65	0	0	41	1	1085	30	0	0	45	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.30540000	38.96550000	20190312	9-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	436	78	0	111	98	52	49	46	19	19	0	18	14	8	7	0	10	0	14	8	5	8	14	13	0	0	0	4	0	0	0	0	0	9	0	0	0	6	0	0	6	7	5	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143801	B-60-15	B-60-15_S52_L001_R1_001.fastq.gz	39eed4e5afd7dd58a06ceef9e3fb5000640413412d154488b08c400e564ff2f6	B-60-15_S52_L001_R2_001.fastq.gz	5149c736dc029ae72d10d62ac97f99fab76ff4e68a670f650b9d83de9a99eb3c	681	20220121_puntin	3550	1020	67	1020	67	0	0	0	0	1011	33	0	0	60	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.30540000	38.96550000	20190312	9-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	372	92	4	109	78	52	50	38	28	23	0	16	8	7	0	0	8	0	0	12	8	5	0	11	0	0	0	7	0	0	6	0	0	6	0	5	0	7	8	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	9	0	0	0	0	0	0	4	0	0	4	0	7	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143799	B-53-6	B-53-6_S46_L001_R1_001.fastq.gz	a114658835ed940ad21da8abb0a2df2000b62dfd59d20e9b7d7704956cd8a16c	B-53-6_S46_L001_R2_001.fastq.gz	f3ae50c606b5e5cf15733b2f87bd7a75e0e868184f65ca60d6e87aefab685f4f	681	20220121_puntin	2827	917	52	830	51	0	0	87	1	815	32	0	0	45	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.30540000	38.96550000	20190312	9-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	53	15	71	55	48	33	35	21	24	0	5	4	0	7	0	9	0	6	7	5	9	9	5	0	7	0	6	0	0	0	16	0	0	0	0	0	4	5	0	6	0	4	0	0	0	0	8	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143817	S-60-9	S-60-9_S36_L001_R1_001.fastq.gz	7552757ac284feb0183671e9486d9c1f188c7fb34a565a8f4881ee8b01d47697	S-60-9_S36_L001_R2_001.fastq.gz	1771babc85924c027e73f3b659a195d26bfcfb02c3c686de39b6373f13566ee1	681	20220121_puntin	5585	1618	96	1588	94	0	0	30	2	1533	42	0	0	76	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.30540000	38.96550000	20190312	9-13	85	9	6	6	0	0	0	0	0	0	0	5	0	0	4	513	113	0	171	105	67	63	58	33	48	0	23	11	12	7	0	12	0	11	10	21	11	7	9	6	5	0	8	0	0	0	0	0	12	0	15	0	6	9	0	0	0	0	7	9	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143822	S-br-8	S-br-8_S43_L001_R1_001.fastq.gz	cf75afe661ba283dca55673033ae1200cb000f900753243c6d37b21dcf167b3d	S-br-8_S43_L001_R2_001.fastq.gz	0935285c9f9e518ff55cae7e8588469e321f80c4881bfd1388cfe94a017b4a84	681	20220121_puntin	4494	1708	82	1695	81	0	0	13	1	1669	25	0	0	72	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.53085000	114.31496667	20190601	3-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1142	0	257	16	0	0	0	0	0	0	40	0	10	17	10	21	0	20	0	0	0	0	0	0	8	0	14	0	0	15	0	0	9	0	7	0	10	0	0	9	0	0	0	0	0	7	7	0	0	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143803	B-6-16	B-6-16_S60_L001_R1_001.fastq.gz	49eeda827c3c26c0f4b43efcf0294e2e1681ee4a70daae272ed54dec63775176	B-6-16_S60_L001_R2_001.fastq.gz	6fc70040c1ed9ddc8e72f306d1ec76971c552f3877db1808dcdf6ae48b410951	681	20220121_puntin	4908	1830	112	1830	112	0	0	0	0	1740	27	0	0	58	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.30540000	38.96550000	20190311	9-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1188	0	227	21	0	0	0	0	0	0	32	0	8	14	23	25	0	14	0	0	0	0	0	0	14	0	10	0	0	12	11	0	13	0	9	0	8	0	0	11	0	0	0	0	0	7	7	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	15	0	0	0	0	0	0	0	0	0	4
143805	B-6-7	B-6-7_S40_L001_R1_001.fastq.gz	72e20aa879c5755844ae200b9953dbc5c119a6487439d05ab1cc42dd48ba34d6	B-6-7_S40_L001_R2_001.fastq.gz	da5a6fc9dafa4313d42b5efe4e7be8779cbd57170337a6b7537cafc776101449	681	20220121_puntin	4763	1502	126	1477	121	0	0	25	5	1404	30	0	0	74	4	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.30540000	38.96550000	20190311	9-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	941	0	182	16	0	0	0	0	0	0	28	0	7	7	7	18	0	15	0	0	0	0	0	0	7	0	13	0	0	7	0	7	0	0	5	0	0	0	0	0	0	0	0	0	0	0	7	0	8	0	0	10	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	42	13	0	4	0	0	0	0	0	0	4	0
143813	S-53-20	S-53-20_S64_L001_R1_001.fastq.gz	032d7dac118e3292263641243aa3a17dfd2ee07359df161c0aa819b3c33a384a	S-53-20_S64_L001_R2_001.fastq.gz	e5cf221d7e37cb2929d3c72f8b5b1cd130e22f5cf901a19c8c0df46129b32c32	681	20220121_puntin	4390	1581	105	1581	105	0	0	0	0	1520	33	0	0	65	0	0	0	0	0	0	coral_aquarium	cnidaria	anthozoa	scleractinia	euphylliidae	galaxea	fascicularis	22.30540000	38.96550000	20190312	9-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	938	16	190	43	13	8	7	9	0	6	34	0	17	10	13	12	0	21	0	0	0	0	0	0	13	0	9	0	0	0	9	0	13	0	0	0	7	0	0	7	0	0	0	0	0	0	0	0	11	6	0	6	0	0	6	0	6	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	14	0	4	4	0	0	0	0	0	0	0
