sample_uid	A1	A1m	A1n	A1bf	A1id	9535_A	20180_A	16547_A	191006_A	A1bw	56151_A	A1bx	A1v	1032_A	A1eb	C1	C41	C1c	C1b	C41f	C41e	C39	C41a	C1f	C1ae	C72k	C1eb	C1w	C1ge	C3	C3ju	C1af	C1al	2669_C	C1ai	C41ap	C4a	C41o	C39ae	C3sf	14885_C	281_C	2667_C	13671_C	C1ch	37127_C	C40	C1t	C39u	73272_C	C1fj	C3sa	906_C	2833_C	C1bc	C39a	2836_C	C1a	2839_C	2188_C	C1l	25715_C	2089_C	21507_C	33564_C	12925_C	5429_C	C3cm	7599_C	C54f	C3gk	C1aa	11561_C	C89	11549_C	C1ly	6846_C	33398_C	57874_C	C1kv	C1it	C42.2	2685_C	16794_C	C1bo	2174033_C	C1n	C45e	217229_C	C1jt	21508_C	28857_C	21063_C	2721_C	2668_C	3611_C	1126_C	C1lx	7534_C	C1aw	C3ew	8634_C	45820_C	28071_C	C18d	94219_C	2064709_C	6394_C	21512_C	21511_C	14089_C	C1cu	6277_C	585010_C	26212_C	2686_C	C1hq	2713_C	2689_C	182421_C	C40e	54826_C	10218_C	C1jr	8196_C	2949_C	2662_C	C1lq	58372_C	2675_C	D1	D4	D1n	D2	D17d	D17c	D1r	D1fw	D1c	14945_D	42251_D	D5m
143800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	66	0	122	87	54	45	35	28	29	0	9	8	6	0	0	10	0	10	10	0	9	6	6	0	8	0	7	0	0	0	0	0	0	0	0	0	4	0	0	7	7	0	0	4	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	647	126	0	177	131	78	87	51	48	60	0	27	8	6	0	0	13	0	13	18	15	18	11	0	0	0	0	6	0	0	7	0	0	8	0	11	0	0	9	0	0	7	11	9	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	6	0	0	6	0	0	0	0	0	0	0	9	0	8	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	436	78	0	111	98	52	49	46	19	19	0	18	14	8	7	0	10	0	14	8	5	8	14	13	0	0	0	4	0	0	0	0	0	9	0	0	0	6	0	0	6	7	5	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	372	92	4	109	78	52	50	38	28	23	0	16	8	7	0	0	8	0	0	12	8	5	0	11	0	0	0	7	0	0	6	0	0	6	0	5	0	7	8	0	0	0	0	6	0	0	0	0	0	0	0	0	0	7	0	0	0	0	9	0	0	0	0	0	0	4	0	0	4	0	7	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	53	15	71	55	48	33	35	21	24	0	5	4	0	7	0	9	0	6	7	5	9	9	5	0	7	0	6	0	0	0	16	0	0	0	0	0	4	5	0	6	0	4	0	0	0	0	8	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143817	85	9	6	6	0	0	0	0	0	0	0	5	0	0	4	513	113	0	171	105	67	63	58	33	48	0	23	11	12	7	0	12	0	11	10	21	11	7	9	6	5	0	8	0	0	0	0	0	12	0	15	0	6	9	0	0	0	0	7	9	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1142	0	257	16	0	0	0	0	0	0	40	0	10	17	10	21	0	20	0	0	0	0	0	0	8	0	14	0	0	15	0	0	9	0	7	0	10	0	0	9	0	0	0	0	0	7	7	0	0	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1188	0	227	21	0	0	0	0	0	0	32	0	8	14	23	25	0	14	0	0	0	0	0	0	14	0	10	0	0	12	11	0	13	0	9	0	8	0	0	11	0	0	0	0	0	7	7	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	15	0	0	0	0	0	0	0	0	0	4
143805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	941	0	182	16	0	0	0	0	0	0	28	0	7	7	7	18	0	15	0	0	0	0	0	0	7	0	13	0	0	7	0	7	0	0	5	0	0	0	0	0	0	0	0	0	0	0	7	0	8	0	0	10	7	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	6	6	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	0	0	0	0	0	0	42	13	0	4	0	0	0	0	0	0	4	0
143813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	938	16	190	43	13	8	7	9	0	6	34	0	17	10	13	12	0	21	0	0	0	0	0	0	13	0	9	0	0	0	9	0	13	0	0	0	7	0	0	7	0	0	0	0	0	0	0	0	11	6	0	6	0	0	6	0	6	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	14	0	4	4	0	0	0	0	0	0	0
143811	660	56	17	7	12	12	12	9	8	6	6	0	4	4	0	282	74	0	68	27	26	49	24	15	11	0	20	0	0	0	0	6	0	9	0	11	0	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	4	4	4	0	0	0	0	0	0	0	0	0	0	0	0
