symb_clade,core_rank,Taxonomic_ID,Genbank
Overall ,1,Labrenzia,MF598485
Overall ,2,Marinobacter,MF598486
Overall ,3,UC Chromatiaceae,MF598487
clade A ,1,Labrenzia,MF598488
clade A ,2,Marinobacter,MF598489
clade A ,3,UC Chromatiaceae,MF598490
clade A ,4,UC Chromatiaceae,MF598491
clade B ,1,Labrenzia,MF598492
clade B ,2,Alteromonas,MF598493
clade B ,3,Labrenzia,MF598494
clade B ,4,Marinobacter,MF598495
clade B ,5,Muricauda,MF598496
clade B ,6,Marinobacter,MF598497
clade B ,7,Oceanococcus,MF598498
clade B ,8,UC Chromatiaceae,MF598499
clade B ,9,Haliea,MF598500
clade B ,10,UC Chromatiaceae,MF598501
clade C ,1,UC Chromatiaceae,MF598502
clade C ,2,Labrenzia,MF598503
clade C ,3,UC Chromatiaceae,MF598504
clade C ,4,Alteromonas,MF598505
clade C ,5,Labrenzia,MF598506
clade C ,6,Rhizobium,MF598507
clade C ,7,Devosia,MF598508
clade C ,8,Hoeflea,MF598509
clade C ,9,Labrenzia,MF598510
clade C ,10,Labrenzia,MF598511
clade C ,11,Labrenzia,MF598512
clade C ,12,Labrenzia,MF598513
clade C ,13,Desulfobulbus,MF598514
clade C ,14,UC Porticoccaceae,MF598515
clade C ,15,Pseudohongiella,MF598516
clade C ,16,Marinobacter,MF598517
clade C ,17,Marinobacter,MF598518
clade C ,18,Oceanococcus,MF598519
clade C ,19,Alteromonas,MF598520
clade C ,20,UC Cryomorphaceae,MF598521
clade C ,21,Algiphilus,MF598522
clade C ,22,Oceanococcus,MF598523
clade C ,23,Oceanococcus,MF598524
clade C ,24,Imperialibacter,MF598525
clade C ,25,UC Chromatiaceae,MF598526
clade C ,26,Sulfurimonas,MF598527
clade C ,27,Algiphilus,MF598528
clade C ,28,UC Chromatiaceae,MF598529
clade C ,29,UC Chromatiaceae,MF598530
clade C ,30,UC Chromatiaceae,MF598531
clade C ,31,UC Chromatiaceae,MF598532
clade C ,32,UC Rhodospirillaceae,MF598533
clade C ,33,UC Rhodospirillaceae,MF598534
clade C ,34,Mesorhizobium,MF598535
clade C ,35,Labrenzia,MF598536
clade D ,1,Labrenzia,MF598537
clade D ,2,Muricauda,MF598538
clade D ,3,Muricauda,MF598539
clade D ,4,Marinobacter,MF598540
clade D ,5,Oceanococcus,MF598541
clade D ,6,UC Chromatiaceae,MF598542
clade D ,7,Haliea,MF598543
clade D ,8,UC Chromatiaceae,MF598544
clade F ,1,UC Chromatiaceae,MF598545
clade F ,2,Labrenzia,MF598546
clade F ,3,UC Chromatiaceae,MF598547
clade F ,4,Alteromonas,MF598548
clade F ,5,Cohaesibacter,MF598549
clade F ,6,Labrenzia,MF598550
clade F ,7,Labrenzia,MF598551
clade F ,8,Marinobacter,MF598552
clade F ,9,Marinobacter,MF598553
clade F ,10,Marinobacter,MF598554
clade F ,11,Oceanococcus,MF598555
clade F ,12,Alteromonas,MF598556
clade F ,13,Gilvibacter,MF598557
clade F ,14,UC Chromatiaceae,MF598558
clade F ,15,Algiphilus,MF598559
clade F ,16,UC Rhodospirillaceae,MF598560
clade F ,17,UC Chromatiaceae,MF598561
clade F ,18,UC Chromatiaceae,MF598562
clade F ,19,UC Chromatiaceae,MF598563
