colony_ms,data,.y.,group1,group2,n1,n2,statistic,df,p,significance
RS1,,Observed,bleached,symbiotic,3,3,4.509559666164675,2.031758726514582,0.0445,*
RS1,,Shannon,bleached,symbiotic,3,3,8.267127731785378,2.0839094126226065,0.0127,*
RS1,,Simpson,bleached,symbiotic,3,3,13.27379259482152,2.36313936264496,0.00284,**
RS1,,pielou,bleached,symbiotic,3,3,6.8198557466160565,3.932637434818409,0.00257,**
RS1,,Faith_PD,bleached,symbiotic,3,3,5.2967174326622075,2.0082896700415365,0.0335,*
RS2,,Observed,bleached,symbiotic,3,3,-3.440303404289382,2.304624588383486,0.0613,NA
RS2,,Shannon,bleached,symbiotic,3,3,-1.7181322022657788,3.4465669784179127,0.172,NA
RS2,,Simpson,bleached,symbiotic,3,3,-0.9866997184657316,2.2770877417465316,0.417,NA
RS2,,pielou,bleached,symbiotic,3,3,-0.7295767035375642,2.922121050114116,0.52,NA
RS2,,Faith_PD,bleached,symbiotic,3,3,-3.4678081864032086,2.148239282565332,0.0668,NA
