state,origin_ms,colony_ms,n,Observed,Chao1,se.chao1,ACE,se.ACE,Shannon,Simpson,InvSimpson,Fisher,pielou,Faith_PD
bleached,Hong Kong,HK1,3,64.49066666666667,64.62278333333333,0.416492433854395,64.6816989087533,3.5003531471232727,3.484987856857978,0.9448337702169217,18.862598905784687,11.90898414851215,0.8373589536798813,26.027684860500173
bleached,Hong Kong,HK2,2,40.8685,40.96720833333333,0.34300981178607703,41.14604700398719,2.644844784052725,2.7184223282552367,0.8804058311797791,8.781300938975303,6.8517615417543,0.7330169972544951,16.872001934277122
bleached,Red Sea,RS1,3,55.19466666666667,55.27927777777778,0.2883860572257698,55.31746363321927,2.925001169400344,3.1985320679235736,0.9163114848237771,13.597514572819277,9.923878357434631,0.801619849384381,24.095472956235383
bleached,Red Sea,RS2,3,32.32,32.321666666666665,0.060008475532163395,32.35335608267558,2.326582160754297,2.4831863894763897,0.8208737688349618,7.653023792995964,5.169366043093999,0.7127542391781777,13.913521204188466
bleached,Red Sea,RS3,3,60.291666666666664,60.32677777777778,0.16116674682908336,60.44779491488126,2.875844493570777,3.4631388189366406,0.9451777704380352,23.09883334157129,11.068201678802028,0.8487021448534703,23.227163050004794
symbiotic,Hong Kong,HK1,2,55.174,55.51865,0.7309049142025869,55.66363193622242,2.9189696064282535,3.247092023244634,0.932304524398502,14.899694193611133,9.844740981754512,0.8110680988687269,23.419428572963923
symbiotic,Hong Kong,HK2,3,51.158,51.30960555555556,0.37480928688612025,51.37150557834995,3.0681310213288833,2.9429897366409916,0.8924898488596528,9.520298347611877,8.968717110707342,0.7484834874530761,19.793356638814494
symbiotic,Red Sea,RS1,3,11.300666666666666,11.301666666666666,0.07369293359662499,11.378103967148666,1.4630930376162765,1.2222887084049296,0.5995300620499994,2.4986902648578995,1.511396057565405,0.5069670365683456,4.393988449144693
symbiotic,Red Sea,RS2,3,55.11933333333333,55.26792777777778,0.41436629296382443,55.31217917879032,2.9335058719110334,3.1022692365291165,0.9007929337626622,11.035404847158208,9.85429536019724,0.7755924415093308,23.171883561919586
symbiotic,Red Sea,RS3,2,38.3855,38.758250000000004,0.8877560457013802,38.79928895495181,1.743093568125654,3.1585016346546695,0.9353366914498141,16.99025362387352,6.375453586267626,0.8698883943502193,16.9020281743643
