ASV,ASV_nr
d28a50830c2b83811311fc42de44e75a,ASV_001
8dcda56fb79df16c4995bc5b5ce6053a,ASV_002
ab16548aa6887db45c3b0c3c970c88ba,ASV_003
57d8f26541adb3c5cec532aa5b106749,ASV_004
2acdc3877186ae1317a58cc2548930c0,ASV_005
023bc360f0f48b25606190b1ebca5fa3,ASV_006
580633a4408fe6c0ef8dcbf124198b03,ASV_007
324499b03d46622141270fc634500ef1,ASV_008
ac2a0371d73d53321e1685375639d2a3,ASV_009
0967d0a763ad74ebd60c4c8194e6b940,ASV_010
e3c9fb8d8e882e9f6d98ff1d7c32f03f,ASV_011
b134965e212e92b08327e601fcd3fb7c,ASV_012
37671b879e23f9023da09d7a72f8f25f,ASV_013
77c09e76ef305909f9683439bd74b6eb,ASV_014
9bb82500faec1ffcc457889f46ff5704,ASV_015
04463c077785387a372e21b3b71602b5,ASV_016
3d34426e6ed68fcc80a4200a50de2fd0,ASV_017
45b85887b17af9fb0d6e6b63aa7206ca,ASV_018
b99a1540d318c34d03eecc973f236aee,ASV_019
3a923ceadde4506328d0e352a3027a75,ASV_020
2564a14c70826e167d596a9d9c55213f,ASV_021
8fb7c34e9774e0623654d0d5b37d51f7,ASV_022
99bca50b5dccc7d415db3473750009c7,ASV_023
add543892bbdd25273b49a507653a358,ASV_024
2d4211c9fd17690d29f0e70f954f170d,ASV_025
8d9115a4b0e787ac5ffc194b285ce5d9,ASV_026
1215466b97be4eecb035fba551ae5d04,ASV_027
ea146eaf96617e151b4a66dc9e392a8a,ASV_028
107e04ddc4519998efd0c7f0d4a3c619,ASV_029
c438f7be2eb2955d789fad57a6769d67,ASV_030
0e1d230e0d69495267466132508f9361,ASV_031
35dd8fffeb6a3cdc9d4cf229cd2e2a65,ASV_032
77cd18f21765bf8edab2287e1498809f,ASV_033
26a930ff8d7ae487ae9b3beaf07b53ca,ASV_034
9be2c5f87fd9d5824b9370da83bd01c2,ASV_035
77caf142e552b317810b00e9c3a78563,ASV_036
9c7d9a2060bbf25f6a80d54bb8b39618,ASV_037
9225b521d19cf8f082cc657a6e5ec30c,ASV_038
855a784e23043890a74544a85994c529,ASV_039
5f303d5361eaea06168f2dd3aae55a2f,ASV_040
fb7b89b3bfcade882873ef47d423f472,ASV_041
3b6e223668a0eee4a1e47f0057d70c7f,ASV_042
69186e39e2a3cbd1352fcc153c9bb477,ASV_043
e41f14614e37cc9995c8b457cf815a12,ASV_044
9f274d2f0b3b02b92fca593fd842023f,ASV_045
71440271a7594ed2c532570dc91c4ac3,ASV_046
81f6af54bad98ca8148b731c28579dd9,ASV_047
a7b296f2f4c1f45b655af2fca5974256,ASV_048
8006e4b39bbe3296c25baeeb00ffec0d,ASV_049
aa835af83c7170e30fb9299d29a16b9b,ASV_050
2f897656cc26837a0095524c53af80e3,ASV_051
f137c11d4a3a8e5673ff015a14c65b1c,ASV_052
dc793568b2399b98fc44090efa249ccc,ASV_053
51f081e599b43f38c6e5364aee2a73e0,ASV_054
733bb7586fe47d0dc7519a3ab4e1d6e8,ASV_055
5fd31ff146ae0889f19a3bf52a33429c,ASV_056
4cdd11c55c6581d49ddb369fc46c43c2,ASV_057
0dc5b23a367e3a9dda1d7f7315bfd517,ASV_058
472cfc4b0ddc5523dedaebf18c3ff134,ASV_059
992bed55e2da564978f3638ea90b44c7,ASV_060
757e6d45705d7ef73af183b1abf83aa9,ASV_061
0e43256777faa593680ecb53e574ae14,ASV_062
3508429a57d12c4c2fadb39ef3267223,ASV_063
1bdfe45342980d5ac6b03896f002c5f9,ASV_064
5f96afd0df557595a3fa22ae24a565f2,ASV_065
7729734fbb9bf255ffb058259638c810,ASV_066
cf63179f6eb172dc94cdfa2cb3a780c1,ASV_067
dc6049a38a7a83680098a7eed263060d,ASV_068
b91e831a9ece0ff8500cfa7f4231ead1,ASV_069
7c799d39954228bf7b47e1b77fa1e368,ASV_070
abb0b084f09e6e08efb0f440fe2a549b,ASV_071
